  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  5.00    3700.   0.0000   1.6361
  5.00    3700.   0.0000   0.0086
  5.00    3800.   0.0000   1.5984
  5.00    3800.   0.0000   0.0056
  5.00    3900.   0.0000   1.5724
  5.00    3900.   0.0000   0.0014
  5.00    4000.   0.0000   1.5735
  5.00    4000.   0.0000  -0.0028
  5.00    4100.   0.0000   1.5726
  5.00    4100.   0.0000  -0.0102
  5.00    4200.   0.0000   1.6071
  5.00    4200.   0.0000  -0.0155
  5.00    4300.   0.0000   1.6401
  5.00    4300.   0.0000  -0.0194
  5.00    4400.   0.0000   1.6159
  5.00    4400.   0.0000  -0.0230
  5.00    4500.   0.0000   1.5870
  5.00    4500.   0.0000  -0.0201
  5.00    4600.   0.0000   1.5229
  5.00    4600.   0.0000  -0.0171
  5.00    4700.   0.0000   1.4637
  5.00    4700.   0.0000  -0.0130
  5.00    4800.   0.0000   1.4140
  5.00    4800.   0.0000  -0.0086
  5.00    4900.   0.0000   1.2867
  5.00    4900.   0.0000  -0.0074
  5.00    5100.   0.0000   1.2528
  5.00    5100.   0.0000  -0.0045
  5.00    5200.   0.0000   1.2759
  5.00    5200.   0.0000  -0.0041
  5.00    5300.   0.0000   1.2345
  5.00    5300.   0.0000  -0.0052
  5.00    5400.   0.0000   1.1900
  5.00    5400.   0.0000  -0.0056
  5.00    5500.   0.0000   1.1167
  5.00    5500.   0.0000  -0.0065
  5.00    5600.   0.0000   1.0834
  5.00    5600.   0.0000  -0.0064
  5.00    5700.   0.0000   1.1051
  5.00    5700.   0.0000  -0.0076
  5.00    5800.   0.0000   1.0913
  5.00    5800.   0.0000  -0.0057
  5.00    5900.   0.0000   1.0735
  5.00    5900.   0.0000  -0.0081
  5.00    6000.   0.0000   0.9732
  5.00    6000.   0.0000  -0.0072
  5.00    6100.   0.0000   0.9681
  5.00    6100.   0.0000  -0.0080
  5.00    6200.   0.0000   1.1157
  5.00    6200.   0.0000  -0.0097
  5.00    6300.   0.0000   1.0930
  5.00    6300.   0.0000  -0.0161
  5.00    6400.   0.0000   1.0027
  5.00    6400.   0.0000  -0.0152
  5.00    6500.   0.0000   1.0004
  5.00    6500.   0.0000  -0.0183
  5.00    6600.   0.0000   0.9904
  5.00    6600.   0.0000  -0.0173
  5.00    6700.   0.0000   0.9772
  5.00    6700.   0.0000  -0.0185
  5.00    6800.   0.0000   0.9694
  5.00    6800.   0.0000  -0.0198
